Area Code1,Area,Room,Studio,One Bedroom,Two Bedrooms,Three Bedrooms,Four or more Bedrooms,All categories
E09000007,Camden,..,1100,1550,2050,2800,3575,1780
E09000001,City of London,.,1498,1746,2308,..,..,1815
E09000012,Hackney,..,1150,1450,1750,2350,3050,1712
E09000013,Hammersmith and Fulham,..,1009,1450,1867,2498,4200,1750
E09000014,Haringey,725,900,1300,1578,1850,2330,1475
E09000019,Islington,750,1110,1500,1925,2400,3207,1733
E09000020,Kensington and Chelsea,867,1387,1950,2695,4200,6554,2300
E09000022,Lambeth,690,1000,1400,1742,2257,3200,1700
E09000023,Lewisham,750,900,1150,1400,1700,2400,1315
E09000025,Newham,650,1215,1300,1550,1750,2000,1461
E09000028,Southwark,750,1126,1400,1750,2200,3100,1700
E09000030,Tower Hamlets,750,1300,1452,1750,2200,3000,1650
E09000032,Wandsworth,750,1050,1500,1875,2450,3400,1810
E09000033,Westminster,866,1235,2058,2687,3770,4983,2275
E09000002,Barking and Dagenham,600,730,1050,1275,1450,1850,1300
E09000003,Barnet,645,914,1200,1450,1850,2500,1400
E09000004,Bexley,650,840,950,1225,1500,1800,1250
E09000005,Brent,650,887,1192,1400,1800,2200,1450
E09000006,Bromley,700,820,1050,1350,1650,2250,1300
E09000008,Croydon,550,800,950,1250,1500,2000,1200
E09000009,Ealing,700,936,1250,1500,1850,2500,1450
E09000010,Enfield,638,838,1050,1350,1650,2000,1332
E09000011,Greenwich,570,850,1200,1400,1650,2000,1400
E09000015,Harrow,550,790,1100,1350,1700,2100,1400
E09000016,Havering,700,725,950,1200,1450,1800,1250
E09000017,Hillingdon,600,750,975,1275,1500,1950,1250
E09000018,Hounslow,550,800,1150,1375,1650,2000,1350
E09000021,Kingston upon Thames,550,850,1100,1380,1800,2500,1325
E09000024,Merton,475,900,1250,1500,2000,2950,1523
E09000026,Redbridge,695,800,1050,1300,1600,2000,1300
E09000027,Richmond upon Thames,850,950,1250,1650,2300,3750,1625
E09000029,Sutton,..,795,975,1250,1600,2200,1150
E09000031,Waltham Forest,550,850,1125,1400,1663,2016,1350
